CarNumber,Refund,Fines,Make,Model,Year
Y650E8750RUS,1,500.0,Skoda,Octavia,1990
X767HY197RUS,2,36000.0,Ford,Focus,1980
9498KX178RUS,2,800.0,Ford,Focus,1990
83298C154RUS,1,100.0,Ford,Focus,1985
8321XX154RUS,1,100.0,Ford,Focus,1999
8316XX154RUS,1,2200.0,Ford,Focus,1995
T017OX197RUS,2,12700.0,Toyota,Corolla,1985
H977HY161RUS,1,8594.5864661654,Ford,Focus,1981
7788KT197RUS,2,8594.5864661654,Ford,Focus,2013
X522OM161RUS,1,1500.0,Ford,Focus,1980
O085E8197RUS,1,300.0,Volkswagen,Golf,1980
8166XX154RUS,1,600.0,Ford,Focus,1997
705387163RUS,2,700.0,Ford,Focus,1992
O017KO197RUS,1,800.0,Ford,Focus,1981
X4138H125RUS,1,300.0,Ford,Focus,1992
8441XX154RUS,1,500.0,Ford,Focus,1981
M0269X197RUS,2,8594.5864661654,Ford,Focus,2004
7781KT197RUS,1,1200.0,Ford,Focus,1998
T483CT96RUS,1,500.0,Ford,Focus,1980
T940CC96RUS,2,1500.0,Ford,Focus,1981
C58078163RUS,1,100.0,Ford,Focus,1990
O02397197RUS,1,4000.0,Volkswagen,Jetta,1990
T018OX197RUS,2,6800.0,Toyota,Corolla,1996
H963HY161RUS,1,1400.0,Ford,Focus,2016
8611T8154RUS,2,2000.0,Ford,Focus,1999
704787163RUS,2,2800.0,Ford,Focus,1993
E53488152RUS,2,3600.0,Ford,Focus,1991
Y7129Y50RUS,1,16000.0,Ford,Focus,2017
C313MM99RUS,1,7500.0,Toyota,Camry,1989
8611T8154RUS,1,1000.0,Ford,Focus,1997
X763HY197RUS,2,9500.0,Ford,Focus,2018
M386M9197RUS,2,5800.0,Volkswagen,Golf,2017
8605T8154RUS,1,1000.0,Ford,Focus,2015
O22297197RUS,1,8594.5864661654,Ford,Focus,1989
7147OE161RUS,1,500.0,Ford,Focus,1990
O134HE197RUS,2,7600.0,Ford,Focus,2003
7361C8197RUS,1,1600.0,Ford,Focus,1999
Y359EY197RUS,2,3000.0,Skoda,Octavia,1981
T6559O50RUS,1,4000.0,Ford,Focus,1996
E53277152RUS,1,500.0,Ford,Focus,1987
X015HY197RUS,1,8000.0,Toyota,Corolla,2000
9469EX178RUS,2,2100.0,Ford,Focus,2013
Y6839Y50RUS,2,3000.0,Ford,Focus,2003
H237YH197RUS,1,600.0,Ford,Focus,2007
T948OM96RUS,1,2000.0,Ford,Focus,2010
T395KX197RUS,2,15200.0,Ford,Focus,1995
M301CH161RUS,1,8000.0,Ford,Focus,2004
M581CH197RUS,1,100.0,Ford,Focus,1986
E79988152RUS,1,1500.0,Ford,Focus,1988
9496KX178RUS,1,500.0,Ford,Focus,2016
T6319O50RUS,2,8594.5864661654,Ford,Focus,1982
H305T8197RUS,1,28100.0,Ford,Focus,2014
8201XX154RUS,2,2600.0,Ford,Focus,2006
O64297197RUS,1,300.0,Ford,Focus,2017
9523M8178RUS,1,600.0,Skoda,Octavia,1989
Y273O8197RUS,2,52600.0,Ford,Focus,2001
T6229O50RUS,2,2500.0,Ford,Focus,1998
9943KK197RUS,2,19800.0,Ford,Focus,1987
X023HY197RUS,2,10200.0,Volvo,,2005
8226XX154RUS,2,1000.0,Ford,Focus,1996
Y038TO197RUS,1,7600.0,Toyota,Corolla,1991
M0289X197RUS,2,40600.0,Ford,Focus,2010
E811HE77RUS,2,7000.0,Ford,Focus,1982
X795O796RUS,1,2000.0,Ford,Focus,1993
O39997197RUS,1,9000.0,Ford,Focus,1993
97968K152RUS,2,500.0,Ford,Focus,2005
K339T8197RUS,2,8594.5864661654,Ford,Focus,2003
H219X836RUS,1,1600.0,Ford,Focus,1997
T6169O50RUS,1,500.0,Ford,Focus,2007
Y352O8197RUS,2,25900.0,Ford,Focus,2012
94178K154RUS,1,500.0,Ford,Focus,2013
7365C8197RUS,2,6900.0,Ford,Focus,2012
9467EX178RUS,2,3700.0,Ford,Focus,1982
O78097197RUS,2,1400.0,Ford,Focus,1995
X5707X161RUS,2,500.0,Volkswagen,Passat,1982
Y232E877RUS,2,5000.0,Ford,Focus,2015
Y388E877RUS,2,19000.0,Ford,Focus,1987
X255HE161RUS,1,400.0,Ford,Focus,1998
E552MO152RUS,1,8594.5864661654,Ford,Focus,1993
97998K152RUS,2,6300.0,Ford,Focus,2003
Y963O8197RUS,2,21600.0,Ford,Focus,1991
Y778EE197RUS,2,168000.0,Volkswagen,Golf,1986
T654HT96RUS,2,2000.0,Toyota,Corolla,1997
T477KX197RUS,2,94000.0,Ford,Focus,2007
T2639T116RUS,1,3000.0,Ford,Focus,2005
O49797197RUS,2,5300.0,Ford,Focus,2011
O83597197RUS,2,8000.0,Ford,Focus,2015
H387TM197RUS,2,3200.0,Volkswagen,Passat,1994
O68897197RUS,1,8200.0,Ford,Focus,2002
72457Y96RUS,1,900.0,Ford,Focus,1999
7064C8197RUS,1,12800.0,Volkswagen,Passat,1999
E948C8152RUS,2,6000.0,Ford,Focus,2016
C514X938RUS,2,8594.5864661654,Ford,Focus,2001
C589EY154RUS,1,4500.0,Ford,Focus,2001
K899T8197RUS,2,15400.0,Ford,Focus,1980
T6418M116RUS,2,24600.0,Ford,Focus,2005
8607XX154RUS,2,2400.0,Skoda,Octavia,2000
92778M178RUS,2,3000.0,Ford,Focus,1999
T288CT96RUS,1,4500.0,Ford,Focus,2010
9886HX152RUS,2,2900.0,Ford,Focus,1988
C583EY154RUS,1,1000.0,Ford,Focus,1997
7788KT197RUS,1,20000.0,Ford,Focus,2006
T016OX197RUS,2,9600.0,Toyota,Corolla,1999
T6419O50RUS,2,27000.0,Ford,Focus,1995
C592EY154RUS,1,1000.0,Ford,Focus,1986
T6459O50RUS,1,2000.0,Ford,Focus,1997
Y356O8197RUS,2,8594.5864661654,Ford,Focus,1995
X759HY197RUS,2,12500.0,Ford,Focus,2015
705787163RUS,1,100.0,Ford,Focus,2013
Y973O8197RUS,1,69600.0,Ford,Focus,1991
92898M178RUS,1,1600.0,Ford,Focus,1981
9671EC178RUS,1,600.0,Ford,Focus,2010
M302CH161RUS,1,500.0,Ford,Focus,2003
X023HY197RUS,2,6800.0,Volvo,,2008
M578CH197RUS,2,9000.0,Ford,Focus,2018
O77997197RUS,2,5600.0,Ford,Focus,2011
7368C8197RUS,2,8800.0,Ford,Focus,2009
9683EC178RUS,2,6500.0,Ford,Focus,2012
Y207O8161RUS,1,500.0,Ford,Focus,2018
96659X178RUS,1,2700.0,Ford,Focus,1988
T912CT197RUS,2,19800.0,Toyota,Camry,2016
7183TT36RUS,2,16200.0,Ford,Focus,2014
89557X197RUS,2,22400.0,Toyota,Camry,2018
E773EH197RUS,2,8594.5864661654,Ford,Focus,1999
Y359O8197RUS,1,2000.0,Ford,Focus,1988
K2817K154RUS,1,4500.0,Ford,Focus,1986
X758HY197RUS,2,145200.0,Ford,Focus,2005
Y964O8197RUS,1,1000.0,Ford,Focus,1984
H967HY161RUS,2,4500.0,Ford,Focus,2005
E394MO152RUS,2,10500.0,Ford,Focus,1998
O50699163RUS,1,1100.0,Ford,Focus,2017
9463EX178RUS,1,1400.0,Ford,Focus,2018
E53677152RUS,2,5500.0,Ford,Focus,1993
K338T8197RUS,2,17400.0,Ford,Focus,2012
Y4298M777RUS,2,2000.0,Skoda,Octavia,2007
Y687HM197RUS,1,8594.5864661654,BMW,,2009
8311XX154RUS,2,4300.0,Ford,Focus,1985
98037H178RUS,2,2500.0,Ford,Focus,2006
7828C8197RUS,2,6700.0,Ford,Focus,1983
H980HY161RUS,2,1800.0,Ford,Focus,2006
H906YK197RUS,1,12000.0,Ford,Focus,1995
7199MT197RUS,1,9300.0,Volkswagen,Golf,1981
X908XC197RUS,2,46000.0,Volkswagen,Jetta,2004
T171CC96RUS,2,2000.0,Ford,Focus,2011
X4108H125RUS,2,1300.0,Ford,Focus,1986
Y966O8197RUS,2,10400.0,Ford,Focus,1980
K2797K154RUS,2,2400.0,Ford,Focus,2001
7089H8163RUS,2,4400.0,Toyota,Corolla,2018
9883HX152RUS,1,500.0,Ford,Focus,1985
7841C8197RUS,1,12000.0,Ford,Focus,2002
9940KK197RUS,1,8594.5864661654,Ford,Focus,1988
H224X836RUS,2,7000.0,Ford,Focus,2018
H971HY161RUS,2,7400.0,Ford,Focus,2000
M0269X197RUS,2,20600.0,Ford,Focus,1981
E316EH197RUS,1,1300.0,Volkswagen,Touareg,2000
X257HE161RUS,1,5000.0,Ford,Focus,1984
H844YH197RUS,2,3000.0,Ford,Focus,2003
9523M8178RUS,2,300.0,Skoda,Octavia,2015
E33477152RUS,1,500.0,Ford,Focus,1981
Y156E877RUS,2,7500.0,Ford,Focus,2000
E396MO152RUS,2,3000.0,Ford,Focus,2003
E0697X152RUS,2,8594.5864661654,Skoda,Octavia,2003
Y969O8197RUS,1,15600.0,Ford,Focus,1980
9028CO161RUS,1,1500.0,Ford,Focus,1997
7840C8197RUS,2,3500.0,Ford,Focus,1993
T6249O50RUS,2,8500.0,Ford,Focus,1983
E53677152RUS,2,11000.0,Ford,Focus,2012
E42377152RUS,2,3000.0,Ford,Focus,1983
9941KK197RUS,1,800.0,Ford,Focus,2012
E28877161RUS,1,500.0,Ford,Focus,1981
M0299X197RUS,2,19200.0,Ford,Focus,1988
M372CH197RUS,1,21600.0,Ford,Focus,2002
K040CC197RUS,2,3600.0,Ford,Focus,2015
E41577152RUS,2,3000.0,Ford,Focus,1994
9763HY161RUS,1,900.0,Ford,Focus,2008
T535ET96RUS,2,3000.0,Ford,Focus,1980
92918M178RUS,2,7600.0,Ford,Focus,1997
Y655E8750RUS,1,2600.0,Skoda,Octavia,1981
K2797K154RUS,1,8594.5864661654,Ford,Focus,1998
K559KC161RUS,1,200.0,Ford,Focus,1996
7369C8197RUS,2,10100.0,Ford,Focus,2007
8321XX154RUS,1,200.0,Ford,Focus,1981
O134HE197RUS,2,11400.0,Ford,Focus,1996
H961HY161RUS,2,2500.0,Ford,Focus,2010
M2169X197RUS,2,3100.0,Ford,Focus,2018
707987163RUS,1,1100.0,Ford,Focus,1991
8234XX154RUS,1,1300.0,Ford,Focus,1989
X759HY197RUS,1,37500.0,Ford,Focus,1994
O83697197RUS,2,6100.0,Ford,Focus,1991
92918M178RUS,1,1900.0,Ford,Focus,2015
92928M178RUS,1,1200.0,Ford,Focus,1990
E52677152RUS,2,2500.0,Ford,Focus,1983
8451M7154RUS,1,500.0,Ford,Focus,1999
9589EY178RUS,1,8594.5864661654,Ford,Focus,2014
H907YK197RUS,2,7100.0,Ford,Focus,2011
O39897197RUS,2,3800.0,Ford,Focus,1992
M3879X197RUS,2,6300.0,Volkswagen,Touareg,1985
C299K9154RUS,1,500.0,Ford,Focus,1998
M0299X197RUS,1,9600.0,Ford,Focus,1992
8437XX154RUS,2,800.0,Ford,Focus,1995
9468EX178RUS,1,4000.0,Ford,Focus,1980
M375CH197RUS,2,18100.0,Ford,Focus,2000
H982HY161RUS,1,300.0,Ford,Focus,2002
8201XX154RUS,1,7800.0,Ford,Focus,1984
8224XX154RUS,1,2500.0,Ford,Focus,1983
O22397197RUS,1,18500.0,Ford,Focus,1997
Y653E8750RUS,1,500.0,Skoda,Octavia,2004
K558KC161RUS,1,500.0,Ford,Focus,1983
O058M7161RUS,1,1900.0,Ford,Focus,1990
M256OH161RUS,2,1600.0,Ford,Focus,1994
7183TT36RUS,2,5400.0,Ford,Focus,1991
T242H8197RUS,2,8594.5864661654,Skoda,Octavia,2009
K27188138RUS,1,2000.0,Ford,Focus,1993
X782CO96RUS,1,1000.0,Ford,Focus,2014
Y7659C197RUS,1,1500.0,Ford,Focus,2016
X523OM161RUS,1,400.0,Ford,Focus,1998
96629X178RUS,1,7000.0,Ford,Focus,1981
9881HX152RUS,2,10300.0,Ford,Focus,2000
9020YC197RUS,2,72500.0,Skoda,Octavia,2003
T479KX197RUS,2,12000.0,Ford,Focus,2007
M680T9152RUS,2,9000.0,Volkswagen,Jetta,1994
7831C8197RUS,2,6800.0,Ford,Focus,2000
7844C8197RUS,2,17000.0,Ford,Focus,2010
T011MY163RUS,2,4000.0,Ford,Focus,1980
C410X938RUS,1,1100.0,Ford,Focus,2012
X762HY197RUS,1,500.0,Ford,Focus,1993
9470EX178RUS,1,500.0,Ford,Focus,2013
X4128H125RUS,2,8594.5864661654,Ford,Focus,1988
9762HY161RUS,2,2600.0,Ford,Focus,2015
H419XE197RUS,2,6900.0,Toyota,Corolla,1997
98017H178RUS,1,1500.0,Ford,Focus,1984
Y780EE197RUS,2,4600.0,Volkswagen,Golf,1998
M580CH197RUS,2,9500.0,Ford,Focus,2018
